Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,avg_points,injured
D'Andre Swift,CHI,RB,29.5,4,0.0,0.0,0.0,0.0,16.0,93.0,1.0,0.0,7.0,7.0,72.0,0.0,ACTIVE,12.91,False
Texans D/ST,HOU,D/ST,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,5.26,False
Travis Etienne Jr.,JAX,RB,7.0,4,0.0,0.0,0.0,0.0,11.0,50.0,0.0,0.0,2.0,1.0,10.0,0.0,ACTIVE,16.1,False
Davante Adams,LV,WR,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,15.6,False
Brandon Aiyuk,SF,WR,6.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,48.0,0.0,ACTIVE,14.83,False
Cooper Kupp,LAR,WR,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OUT,14.53,True
Jaylen Waddle,MIA,WR,7.6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,36.0,0.0,ACTIVE,14.61,False
Nick Chubb,CLE,RB,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OUT,14.89,True
Zack Moss,CIN,RB,17.8,4,0.0,0.0,0.0,0.0,15.0,51.0,0.0,0.0,4.0,4.0,27.0,1.0,ACTIVE,11.09,False
J.K. Dobbins,LAC,RB,9.2,4,0.0,0.0,0.0,0.0,14.0,32.0,0.0,0.0,4.0,3.0,30.0,0.0,ACTIVE,11.96,False
Jordan Mason,SF,RB,24.0,4,0.0,0.0,0.0,0.0,24.0,123.0,1.0,0.0,3.0,2.0,37.0,0.0,ACTIVE,6.35,False
Jets D/ST,NYJ,D/ST,8.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,7.69,False
Joe Burrow,CIN,QB,16.28,4,22.0,232.0,2.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,18.58,False
Blake Grupe,NO,K,7.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,7.38,False
Chuba Hubbard,CAR,RB,22.1,4,0.0,0.0,0.0,0.0,18.0,104.0,1.0,0.0,4.0,4.0,17.0,0.0,ACTIVE,9.73,False
Mike Gesicki,CIN,TE,0.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-9.0,0.0,ACTIVE,5.28,False
Khalil Shakir,BUF,WR,10.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,62.0,0.0,QUESTIONABLE,10.25,False
Travis Kelce,KC,TE,15.9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,89.0,0.0,ACTIVE,13.94,False
Tyreek Hill,MIA,WR,8.2,4,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,7.0,4.0,23.0,0.0,ACTIVE,19.93,False
