Name,Projected_Points_Model,projected_points,injuryStatus,lineupSlot
Will Levis,15.530999999999995,15.3,ACTIVE,QB
Brock Purdy,15.351000000000004,17.29,ACTIVE,QB
Josh Jacobs,15.292999999999996,15.46,ACTIVE,RB
Xavier Worthy,15.165000000000003,11.75,ACTIVE,WR
Jake Browning,15.036400000000004,9.32,ACTIVE,QB
Nick Mullens,14.877200000000006,14.64,ACTIVE,QB
Kirk Cousins,14.851000000000008,16.73,ACTIVE,QB
Chris Olave,14.392999999999995,16.38,ACTIVE,WR
Rashee Rice,14.371999999999996,14.95,ACTIVE,WR
Tyler Lockett,14.332999999999984,12.17,ACTIVE,WR
Davante Adams,14.184999999999993,15.6,ACTIVE,WR
Jimmy Garoppolo,14.133800000000006,8.24,ACTIVE,QB
Noah Brown,14.062000000000003,4.97,ACTIVE,WR
David Montgomery,13.989999999999995,12.67,ACTIVE,RB
Gardner Minshew,13.819600000000005,14.26,ACTIVE,QB
Gerald Everett,13.798,4.32,ACTIVE,TE
Jahmyr Gibbs,13.735999999999992,17.04,ACTIVE,RB
De'Von Achane,13.638,15.08,ACTIVE,RB
Derrick Henry,13.60599999999999,16.07,ACTIVE,RB
Taylor Heinicke,13.243799999999997,8.35,ACTIVE,QB
Christian Watson,13.216999999999993,12.57,ACTIVE,WR
Garrett Wilson,13.207000000000008,16.77,ACTIVE,WR
C.J. Stroud,13.202199999999989,18.44,ACTIVE,QB
Aidan O'Connell,13.187400000000007,14.14,ACTIVE,QB
Dak Prescott,13.090999999999992,18.44,ACTIVE,QB
Tyjae Spears,13.060000000000008,12.53,ACTIVE,RB
Sam Howell,13.029399999999994,8.24,ACTIVE,QB
Curtis Samuel,12.980000000000002,11.1,ACTIVE,WR
Terry McLaurin,12.845000000000002,12.9,ACTIVE,WR
Mike Evans,12.826000000000004,15.69,ACTIVE,WR
J.K. Dobbins,12.760000000000002,11.96,ACTIVE,RB
Joshua Dobbs,12.7042,8.47,ACTIVE,QB
Ezekiel Elliott,12.661,11.46,ACTIVE,RB
James Conner,12.591000000000003,13.68,ACTIVE,RB
Khalil Herbert,12.442000000000002,7.48,ACTIVE,RB
DJ Moore,12.326999999999998,14.91,ACTIVE,WR
Mason Rudolph,12.214800000000002,7.22,ACTIVE,QB
Zay Flowers,12.102000000000006,14.43,ACTIVE,WR
Chris Godwin,12.016999999999998,14.27,ACTIVE,WR
Hunter Henry,11.952000000000005,7.4,ACTIVE,TE
Jameson Williams,11.908,10.78,ACTIVE,WR
Diontae Johnson,11.726999999999999,13.9,ACTIVE,WR
Malik Nabers,11.687999999999997,14.84,ACTIVE,WR
Brian Robinson Jr.,11.588000000000005,12.77,ACTIVE,RB
Wan'Dale Robinson,11.585,8.91,ACTIVE,WR
Antonio Gibson,11.51100000000001,10.91,ACTIVE,RB
Rashid Shaheed,11.503000000000002,10.6,ACTIVE,WR
Chuba Hubbard,11.456,9.73,ACTIVE,RB
Robert Woods,11.447000000000003,0.9,ACTIVE,WR
Michael Pittman Jr.,11.258000000000008,15.39,ACTIVE,WR
Zack Moss,11.24200000000001,11.09,ACTIVE,RB
Tyler Allgeier,11.231999999999998,10.09,ACTIVE,RB
Brandon Aiyuk,11.23,14.83,ACTIVE,WR
D'Andre Swift,11.18800000000001,12.91,ACTIVE,RB
Calvin Ridley,11.185999999999993,14.63,ACTIVE,WR
DK Metcalf,11.141999999999998,14.99,ACTIVE,WR
DeAndre Hopkins,10.991,12.7,ACTIVE,WR
Kenny Pickett,10.970000000000004,8.03,ACTIVE,QB
Daniel Jones,10.857999999999995,16.1,ACTIVE,QB
Jonathan Mingo,10.654000000000007,5.62,ACTIVE,WR
Gabe Davis,10.593000000000002,11.39,ACTIVE,WR
Jaxon Smith-Njigba,10.495,12.76,ACTIVE,WR
Tyrod Taylor,10.476999999999999,8.03,ACTIVE,QB
Javonte Williams,10.364000000000006,13.23,ACTIVE,RB
Aaron Jones,10.348999999999997,13.57,ACTIVE,RB
Alexander Mattison,10.026999999999997,6.63,ACTIVE,RB
Jaylen Waddle,9.962,14.61,ACTIVE,WR
Drew Lock,9.850200000000005,7.47,ACTIVE,QB
Tee Higgins,9.731000000000002,14.43,ACTIVE,WR
Nick Westbrook-Ikhine,9.721999999999996,1.59,ACTIVE,WR
Drake London,9.653999999999998,15.04,ACTIVE,WR
Jakobi Meyers,9.643999999999998,11.68,ACTIVE,WR
Kylen Granson,9.540000000000004,5.53,ACTIVE,TE
Najee Harris,9.505999999999991,12.5,ACTIVE,RB
Jerry Jeudy,9.489999999999993,11.78,ACTIVE,WR
Pat Freiermuth,9.477000000000002,9.21,ACTIVE,TE
Mark Andrews,9.439000000000005,12.55,ACTIVE,TE
Cole Kmet,9.397000000000004,7.58,ACTIVE,TE
Dontayvion Wicks,9.25499999999999,8.39,ACTIVE,WR
Kyle Pitts,9.235999999999999,11.14,ACTIVE,TE
Tyler Boyd,9.138000000000003,8.8,ACTIVE,WR
Romeo Doubs,8.799000000000001,9.01,ACTIVE,WR
Zach Ertz,8.545999999999998,4.93,ACTIVE,TE
Amon-Ra St. Brown,8.535999999999996,18.93,ACTIVE,WR
Travis Kelce,8.535000000000009,13.94,ACTIVE,TE
Brandin Cooks,8.525000000000006,10.37,ACTIVE,WR
Tyler Conklin,8.487000000000004,8.56,ACTIVE,TE
George Pickens,8.486999999999991,13.93,ACTIVE,WR
Courtland Sutton,8.452,12.64,ACTIVE,WR
Dalton Kincaid,8.430999999999997,11.48,ACTIVE,TE
Luke Musgrave,8.398000000000001,5.38,ACTIVE,TE
