Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,percent_owned,percent_started,avg_points,injured
Rashid Shaheed,NO,WR,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Raiders D/ST,LV,D/ST,-4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0.0,0.0,0.0,False
Amon-Ra St. Brown,DET,WR,20.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,75.0,1.0,ACTIVE,0.0,0.0,0.0,False
Garrett Wilson,NYJ,WR,14.3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,33.0,1.0,ACTIVE,0.0,0.0,0.0,False
Isiah Pacheco,KC,RB,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INJURY_RESERVE,0.0,0.0,0.0,True
Drake London,ATL,WR,18.7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,67.0,1.0,ACTIVE,0.0,0.0,0.0,False
Rachaad White,TB,RB,8.5,3,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,6.0,5.0,18.0,0.0,ACTIVE,0.0,0.0,0.0,False
Patrick Mahomes,KC,QB,16.38,3,26.0,217.0,2.0,1.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Zay Flowers,BAL,WR,5.3,3,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,20.0,0.0,ACTIVE,0.0,0.0,0.0,False
Aaron Jones,MIN,RB,25.8,3,0.0,0.0,0.0,0.0,19.0,102.0,0.0,0.0,6.0,5.0,46.0,1.0,ACTIVE,0.0,0.0,0.0,False
