Name,Team,lineupSlot,points,avg_points,GP,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns
Chris Godwin,TB,WR,22.3,22.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,83.0,1.0
Rhamondre Stevenson,NE,RB,21.6,21.6,1,0.0,0.0,0.0,0.0,25.0,120.0,1.0,1.0,3.0,3.0,6.0,0.0
Jake Ferguson,DAL,TE,4.5,4.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,15.0,0.0
Kyler Murray,ARI,QB,14.18,14.18,1,21.0,162.0,1.0,0.0,5.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,RB,12.9,12.9,1,0.0,0.0,0.0,0.0,10.0,40.0,1.0,0.0,2.0,2.0,9.0,0.0
Courtland Sutton,DEN,WR,7.8,7.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,38.0,0.0
Cowboys D/ST,DAL,D/ST,19.0,19.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T.J. Hockenson,MIN,TE,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Elliott,PHI,K,10.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerome Ford,CLE,RB,18.9,18.9,1,0.0,0.0,0.0,0.0,12.0,44.0,1.0,0.0,7.0,6.0,25.0,0.0
Commanders D/ST,WSH,D/ST,-3.0,-3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
