"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"AJ Dillon","GB","RB","9.7","9.7","1","0","0","0","0","18","73","0","0","1","1","14","0"
"Tyler Lockett","SEA","WR","9.7","9.7","1","0","0","0","0","0","0","0","0","8","5","47","0"
"Kenneth Gainwell","PHI","RB","9.7","9.7","1","0","0","0","0","2","5","0","0","6","5","42","0"
"Brevin Jordan","HOU","TE","9.4","9.4","1","0","0","0","0","0","0","0","0","4","3","64","0"
"Chigoziem Okonkwo","TEN","TE","9.4","9.4","1","0","0","0","0","1","2","0","0","6","3","62","0"
"Tyler Boyd","CIN","WR","9.2","9.2","1","0","0","0","1","1","5","0","0","7","5","37","0"
"Kyle Pitts","ATL","TE","9.1","9.1","1","0","0","0","0","0","0","0","0","8","4","51","0"
"MyCole Pruitt","ATL","TE","9","9","1","0","0","0","0","0","0","0","0","1","1","20","1"
"Derek Carr","NO","QB","8.9","8.9","1","17","226","1","1","2","-1","0","1","0","0","0","0"
"Desmond Ridder","ATL","QB","8.8","8.8","1","12","121","1","0","3","0","0","0","0","0","0","0"
"DJ Chark Jr.","CAR","WR","8.6","8.6","1","0","0","0","0","0","0","0","0","4","3","56","0"
"Gerald Everett","LAC","TE","8.4","8.4","1","0","0","0","0","0","0","0","0","5","4","44","0"
"Jerry Jeudy","DEN","WR","8.1","8.1","1","0","0","0","0","0","0","0","0","4","3","51","0"
"Garrett Wilson","NYJ","WR","8","8","1","0","0","0","0","0","0","0","0","7","3","50","0"
"Justin Herbert","LAC","QB","8","8","1","22","212","0","0","4","-5","0","0","0","0","0","0"
"Chris Godwin","TB","WR","7.9","7.9","1","0","0","0","0","1","19","1","0","3","0","0","0"
"Zack Moss","IND","RB","7.7","7.7","1","0","0","0","0","19","51","0","0","3","2","6","0"
"Jimmy Graham","NO","TE","7.6","7.6","1","0","0","0","0","0","0","0","0","1","1","6","1"
"Tanner Hudson","CIN","TE","7.5","7.5","1","0","0","0","0","0","0","0","0","4","4","35","0"
"Calvin Ridley","JAX","WR","7.3","7.3","1","0","0","0","0","3","7","0","0","8","4","26","0"
"Noah Fant","SEA","TE","7.3","7.3","1","0","0","0","0","0","0","0","0","4","3","43","0"
"Dontayvion Wicks","GB","WR","7.3","7.3","1","0","0","0","0","0","0","0","0","4","3","43","0"
"Bailey Zappe","NE","QB","7.2","7.2","1","13","141","0","0","4","16","0","0","0","0","0","0"
"Noah Gray","KC","TE","7.2","7.2","1","0","0","0","0","0","0","0","0","1","1","2","1"
"Mitch Trubisky","PIT","QB","7.2","7.2","1","11","117","1","0","3","5","0","1","0","0","0","0"
"Bryce Young","CAR","QB","7.1","7.1","1","15","178","0","1","0","0","0","0","0","0","0","0"
"Ben Sims","GB","TE","7.1","7.1","1","0","0","0","0","0","0","0","0","1","1","1","1"
"Tucker Kraft","GB","TE","6.7","6.7","1","0","0","0","0","0","0","0","0","6","3","37","0"
"Tee Higgins","CIN","WR","6.6","6.6","1","0","0","0","0","0","0","0","0","3","3","36","0"
"Tyler Conklin","NYJ","TE","6.5","6.5","1","0","0","0","0","0","0","0","0","9","3","35","0"
"Jaylen Warren","PIT","RB","6.5","6.5","1","0","0","0","0","9","59","0","0","3","1","-4","0"
"Amari Cooper","CLE","WR","6.4","6.4","1","0","0","0","0","0","0","0","0","5","3","34","0"
"Jahmyr Gibbs","DET","RB","6.4","6.4","1","0","0","0","0","8","60","0","0","2","1","-6","0"
"Chase Brown","CIN","RB","6.1","6.1","1","0","0","0","0","9","61","0","0","0","0","0","0"
"Pat Freiermuth","PIT","TE","5.9","5.9","1","0","0","0","0","0","0","0","0","5","3","29","0"
"Kareem Hunt","CLE","RB","5.8","5.8","1","0","0","0","0","12","48","0","0","1","1","0","0"
