"Name","Team","lineupSlot","points",averagePoints,"GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Chuba Hubbard","CAR","RB","10.7","10.7","1","0","0","0","0","16","58","0","0","6","4","9","0"
"DeAndre Hopkins","TEN","WR","10.5","10.5","1","0","0","0","0","1","5","0","0","11","4","60","0"
"Demario Douglas","NE","WR","10.5","10.5","1","0","0","0","0","1","0","0","0","7","5","55","0"
"Jerick McKinnon","KC","RB","10.4","10.4","1","0","0","0","0","1","2","0","0","2","2","22","1"
"Kenny Pickett","PIT","QB","10.3","10.3","1","19","160","1","0","1","-1","0","0","0","0","0","0"
"Jordan Addison","MIN","WR","10.2","10.2","1","0","0","0","0","0","0","0","0","7","5","52","0"
"Cedrick Wilson Jr.","MIA","WR","10.1","10.1","1","0","0","0","0","0","0","0","0","5","1","31","1"
"Breece Hall","NYJ","RB","10","10","1","0","0","0","0","16","50","0","0","4","4","10","0"
"Darius Slayton","NYG","WR","9.9","9.9","1","0","0","0","0","0","0","0","0","7","4","59","0"
"Kareem Hunt","CLE","RB","9.8","9.8","1","0","0","0","0","14","38","1","0","1","0","0","0"
"Khalil Shakir","BUF","WR","9.7","9.7","1","0","0","0","0","0","0","0","0","4","4","57","0"
"Rashee Rice","KC","WR","9.7","9.7","1","0","0","0","0","0","0","0","0","2","2","17","1"
"Kyle Pitts","ATL","TE","9.6","9.6","1","0","0","0","0","0","0","0","0","5","4","56","0"
"Gardner Minshew","IND","QB","9.6","9.6","1","17","127","1","0","5","5","0","0","0","0","0","0"
"Brandon Powell","MIN","WR","9.5","9.5","1","0","0","0","0","0","0","0","0","3","2","15","1"
"D'Andre Swift","PHI","RB","9.4","9.4","1","0","0","0","0","18","43","0","0","2","2","31","0"
"Taysom Hill","NO","QB","9.3","9.3","1","1","3","1","0","11","52","0","0","5","4","13","1"
"Tony Pollard","DAL","RB","9.3","9.3","1","0","0","0","0","12","51","0","0","5","3","12","0"
"Kenneth Gainwell","PHI","RB","9.3","9.3","1","0","0","0","0","3","22","1","0","1","1","1","0"
"Miles Sanders","CAR","RB","9.1","9.1","1","0","0","0","0","6","39","0","0","5","3","22","0"
"Bryce Young","CAR","QB","9","9","1","24","173","1","3","5","41","0","0","0","0","0","0"
"KhaDarel Hodge","ATL","WR","9","9","1","0","0","0","0","0","0","0","0","6","3","60","0"
"DJ Chark Jr.","CAR","WR","8.9","8.9","1","0","0","0","0","0","0","0","0","3","2","9","1"
"Tommy Devito","NYG","QB","8.7","8.7","1","15","175","1","2","4","17","0","0","0","0","0","0"
"Will Levis","TEN","QB","8.7","8.7","1","22","262","0","1","1","2","0","0","0","0","0","0"
"Tyler Boyd","CIN","WR","8.6","8.6","1","0","0","0","0","0","0","0","0","5","3","56","0"
"Byron Pringle","WAS","WR","8.5","8.5","1","0","0","0","0","0","0","0","0","4","3","55","0"
"Tanner Hudson","CIN","TE","8.5","8.5","1","0","0","0","0","0","0","0","0","5","4","45","0"
"Michael Carter","NYJ","RB","8.4","8.4","1","0","0","0","0","0","0","0","0","6","6","24","0"
