"Name","Team","lineupSlot","points","avg_points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Payne Durham","TB","TE","10.8","0.8","13","0","0","0","0","0","0","0","0","7","5","58","0"
"Ian Thomas","CAR","TE","10.6","0.9","12","0","0","0","0","0","0","0","0","9","5","56","0"
"Quintin Morris","BUF","TE","10.6","0.7","15","0","0","0","0","0","0","0","0","3","2","26","1"
"Chris Brooks","MIA","RB","10.6","1.2","9","0","0","0","0","19","106","0","0","0","0","0","0"
"C.J. Ham","MIN","RB","10.2","0.6","17","0","0","0","0","1","7","0","0","9","7","25","0"
"DeeJay Dallas","SEA","RB","10.2","0.6","17","0","0","0","0","10","36","0","1","9","6","26","0"
"Rakim Jarrett","TB","WR","10","1","10","0","0","0","0","1","0","0","0","9","4","60","0"
"Chris Conley","SF","WR","9.9","1.2","8","0","0","0","0","0","0","0","0","6","3","69","0"
"Ty Montgomery II","NE","WR","9.9","0.8","13","0","0","0","0","3","9","0","0","12","5","40","0"
"Case Keenum","HOU","QB","9.7","4.9","2","34","291","1","3","2","1","0","0","0","0","0","0"
"DeAndre Carter","LV","WR","9.7","0.6","17","0","0","0","0","3","18","0","0","7","4","39","0"
"Keelan Doss","LAC","WR","9.3","1.9","5","0","0","0","0","0","0","0","0","13","6","33","0"
"Tyler Johnson","LAR","WR","8.8","8.8","1","0","0","0","0","0","0","0","0","3","2","8","1"
"Jack Stoll","PHI","TE","8.8","0.5","17","0","0","0","0","0","0","0","0","8","5","38","0"
"Julian Hill","MIA","TE","8.8","0.6","15","0","0","0","0","0","0","0","1","9","6","48","0"
"Britain Covey","PHI","WR","8.2","0.5","16","0","0","0","0","0","0","0","0","6","4","42","0"
"Simi Fehoko","LAC","WR","7.9","1.3","6","0","0","0","0","0","0","0","0","2","1","9","1"
"Grant Calcaterra","PHI","TE","7.9","0.5","15","0","0","0","0","0","0","0","0","4","4","39","0"
"Peyton Hendershot","DAL","TE","7.8","1","8","0","0","0","0","1","0","0","0","7","4","38","0"
"Damien Williams","ARI","RB","7.5","2.5","3","0","0","0","0","11","43","0","0","2","2","12","0"
"Clayton Tune","ARI","QB","7.5","0.9","8","12","62","0","2","8","30","1","1","0","0","0","0"
"Dare Ogunbowale","HOU","RB","7.3","0.6","12","0","0","0","0","8","35","0","0","7","2","18","0"
"Devin Duvernay","BAL","WR","7.3","0.6","13","0","0","0","0","4","15","0","0","9","4","18","0"
"Ko Kieft","TB","TE","7.2","0.5","16","0","0","0","0","0","0","0","0","5","1","2","1"
"Elijah Cooks","JAX","WR","6.8","0.8","9","0","0","0","0","0","0","0","0","4","3","38","0"
"Michael Burton","DEN","RB","6.7","0.4","17","0","0","0","0","7","9","0","0","3","3","8","0"
"Marvin Jones Jr.","DET","WR","6.5","1.1","6","0","0","0","0","0","0","0","1","10","5","35","0"
"Ke'Shawn Vaughn","TB","RB","6.4","1.1","6","0","0","0","0","24","42","0","0","5","2","2","0"
